route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
30-13183,JUNE24-D07CAR-1_Weekday,10030008201030-JUNE24,,1,0300400,300820_JUNE24,59962026-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008211908-JUNE24,,0,0300500,300821_JUNE24,59962027-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008201059-JUNE24,,1,0305100,300820_JUNE24,59962028-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008201208-JUNE24,,1,0305200,300820_JUNE24,59962029-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008201347-JUNE24,,1,0300100,300820_JUNE24,59962030-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008201138-JUNE24,,1,0300100,300820_JUNE24,59962031-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008201247-JUNE24,,1,0305300,300820_JUNE24,59962032-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008201407-JUNE24,,1,0300800,300820_JUNE24,59962033-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008201824-JUNE24,,1,0300600,300820_JUNE24,59962034-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008201922-JUNE24,,1,0300200,300820_JUNE24,59962035-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008232053-JUNE24,,1,0300300,300823_JUNE24,59962036-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008232153-JUNE24,,1,0309811,300823_JUNE24,59962037-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008232353-JUNE24,,1,0309811,300823_JUNE24,59962038-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008232253-JUNE24,,1,0309911,300823_JUNE24,59962039-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008232553-JUNE24,,1,0309811,300823_JUNE24,59962040-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008232453-JUNE24,,1,0309911,300823_JUNE24,59962041-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008220340-JUNE24,,0,0305100,300822_JUNE24,59962042-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008211102-JUNE24,,0,0305200,300821_JUNE24,59962043-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008232653-JUNE24,,1,0309911,300823_JUNE24,59962044-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008210418-JUNE24,,0,0300100,300821_JUNE24,59962045-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008210942-JUNE24,,0,0300900,300821_JUNE24,59962046-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008210933-JUNE24,,0,0305300,300821_JUNE24,59962047-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008211012-JUNE24,,0,0305400,300821_JUNE24,59962048-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008211032-JUNE24,,0,0300100,300821_JUNE24,59962049-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008211142-JUNE24,,0,0305300,300821_JUNE24,59962050-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008211112-JUNE24,,0,0300200,300821_JUNE24,59962051-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008211222-JUNE24,,0,0305400,300821_JUNE24,59962052-JUNE24-D13CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008211242-JUNE24,,0,0300100,300821_JUNE24,59962053-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008211132-JUNE24,,0,0300400,300821_JUNE24,59962054-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008211212-JUNE24,,0,0300500,300821_JUNE24,59962055-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D07CAR-1_Weekday,10030008211232-JUNE24,,0,0300600,300821_JUNE24,59962056-JUNE24-D07CAR-1_Weekday
30-13183,JUNE24-D13CAR-1_Weekday,10030008211311-JUNE24,,0,0305200,300821_JUNE24,59962057-JUNE24-D13CAR-1_Weekday
